Class,Order,Family,Species,Sex Determination,heterogametic lifespan,homogametic lifespan,lnRRlifespan,GS Female Mb,GS Male Mb,GS Diff Mb
Insecta,Diptera,Drosophilidae,Drosophila anceps,male heterogametic,,,,201.8,207.5,-11.4
Insecta,Diptera,Drosophilidae,Drosophila eohydei,male heterogametic,,,,231,218.7,24.6
Insecta,Diptera,Drosophilidae,Drosophila hydei,male heterogametic,,,,207.4,199.5,15.8
Insecta,Diptera,Drosophilidae,Drosophila bromeliae,male heterogametic,,,,145.2,137.5,15.4
Insecta,Diptera,Drosophilidae,Drosophila acanthoptera,male heterogametic,,,,155.8,145.6,20.4
Insecta,Diptera,Drosophilidae,Drosophila pachea,male heterogametic,,,,176.5,148.3,56.4
Insecta,Diptera,Drosophilidae,Drosophila nannoptera,male heterogametic,,,,245.9,250.1,-8.4
Insecta,Diptera,Drosophilidae,Drosophila euronotus,Neo,,,,176.8,174.3,5
Insecta,Diptera,Drosophilidae,Drosophila paramelanica,Neo,,,,192.1,191.6,1
Insecta,Diptera,Drosophilidae,Drosophila melanica,Neo,,,,175.9,175.3,1.2
Insecta,Diptera,Drosophilidae,Drosophila micromelanica,male heterogametic,,,,206.4,207.1,-1.4
Insecta,Diptera,Drosophilidae,Drosophila robusta,Neo,,,,241.6,249.6,-16
Insecta,Diptera,Drosophilidae,Drosophila lacertosa,Neo,,,,298,303.1,-10.2
Insecta,Diptera,Drosophilidae,Drosophila sordidula,Neo,,,,227.6,229.3,-3.4
Insecta,Diptera,Drosophilidae,Drosophila borealis,male heterogametic,,,,257.8,261.5,-7.4
Insecta,Diptera,Drosophilidae,Drosophila montana,male heterogametic,60.4,78,0.255719722,240.6,242.8,-4.4
Insecta,Diptera,Drosophilidae,Drosophila flavomontana,male heterogametic,,,,259.5,259.3,0.4
Insecta,Diptera,Drosophilidae,Drosophila littoralis,male heterogametic,,,,253.1,260.1,-14
Insecta,Diptera,Drosophilidae,Drosophila ezoana,male heterogametic,,,,192.9,197.9,-10
Insecta,Diptera,Drosophilidae,Drosophila kanekoi,male heterogametic,,,,256.4,254.4,4
Insecta,Diptera,Drosophilidae,Drosophila lacicola,male heterogametic,,,,196,192.4,7.2
Insecta,Diptera,Drosophilidae,Drosophila lummei,male heterogametic,,,,312.7,308.5,8.4
Insecta,Diptera,Drosophilidae,Drosophila novamexicana,male heterogametic,,,,249.3,252.7,-6.8
Insecta,Diptera,Drosophilidae,Drosophila virilis,male heterogametic,52.79,62.28,0.165318568,325.4,338.2,-25.6
Insecta,Diptera,Drosophilidae,Drosophila polychaeta,male heterogametic,,,,202.5,206,-7
Insecta,Diptera,Drosophilidae,Drosophila pseudotalamancana,male heterogametic,,,,191.6,194.9,-6.6
Insecta,Diptera,Drosophilidae,Scaptomyza anomala,male heterogametic,,,,200.2,193.1,14.2
Insecta,Diptera,Drosophilidae,Zaprionus bogoriensis,male heterogametic,,,,224.3,226.9,-5.2
Insecta,Diptera,Drosophilidae,Zaprionus ghesquierei,male heterogametic,,,,174.5,174.9,-0.8
Insecta,Diptera,Drosophilidae,Zaprionus taronus,NA,,,,203.2,199.9,6.6
Insecta,Diptera,Drosophilidae,Zaprionus lachaisei,NA,,,,194.3,187.7,13.2
Insecta,Diptera,Drosophilidae,Zaprionus indianus,male heterogametic,,,,234.8,229.9,9.8
Insecta,Diptera,Drosophilidae,Zaprionus kolodkinae,NA,,,,199.3,195.5,7.6
Insecta,Diptera,Drosophilidae,Zaprionus tuberculatus,male heterogametic,,,,198.1,199.2,-2.2
Insecta,Diptera,Drosophilidae,Zaprionus sepsoides,male heterogametic,,,,211.8,210.2,3.2
Insecta,Diptera,Drosophilidae,Zaprionus inermis,male heterogametic,,,,203.1,202,2.2
Insecta,Diptera,Drosophilidae,Zaprionus tsacasi,male heterogametic,,,,221.8,221.1,1.4
Insecta,Diptera,Drosophilidae,Drosophila immigrans,male heterogametic,,,,265.2,262.9,4.6
Insecta,Diptera,Drosophilidae,Drosophila albomicans,Neo,,,,215.9,220.6,-9.4
Insecta,Diptera,Drosophilidae,Drosophila nasuta,male heterogametic,,,,242.4,245.7,-6.6
Insecta,Diptera,Drosophilidae,Drosophila neohypocausta,male heterogametic,,,,165.7,165.6,0.2
Insecta,Diptera,Drosophilidae,Drosophila kepulauana,male heterogametic,,,,224.6,237.3,-25.4
Insecta,Diptera,Drosophilidae,Drosophila kohkoa,male heterogametic,,,,271.9,255.6,32.6
Insecta,Diptera,Drosophilidae,Drosophila hypocausta,male heterogametic,,,,190.6,185.9,9.4
Insecta,Diptera,Drosophilidae,Drosophila rubida,male heterogametic,,,,218.7,213.42,10.56
Insecta,Diptera,Drosophilidae,Drosophila mediopictoides,male heterogametic,,,,188,184.3,7.4
Insecta,Diptera,Drosophilidae,Drosophila guttifera,male heterogametic,,,,186.3,173.2,26.2
Insecta,Diptera,Drosophilidae,Drosophila palustris,male heterogametic,,,,219.1,212.1,14
Insecta,Diptera,Drosophilidae,Drosophila subpalustris,male heterogametic,,,,214.7,212.2,5
Insecta,Diptera,Drosophilidae,Drosophila phalerata,male heterogametic,,,,240.3,233.3,14
Insecta,Diptera,Drosophilidae,Drosophila funebris,male heterogametic,,,,221.1,219.8,2.6
Insecta,Diptera,Drosophilidae,Drosophila arawakana,male heterogametic,,,,181.1,186.4,-10.6
Insecta,Diptera,Drosophilidae,Drosophila dunni,male heterogametic,,,,286.1,287,-1.8
Insecta,Diptera,Drosophilidae,Drosophila polymorpha,male heterogametic,,,,179.2,171.2,16
Insecta,Diptera,Drosophilidae,Drosophila cardini,male heterogametic,,,,215.7,212.5,6.4
Insecta,Diptera,Drosophilidae,Drosophila ornatifrons,male heterogametic,,,,291.3,286.1,10.4
Insecta,Diptera,Drosophilidae,Drosophila tripunctata,NA,,,,184.4,184.5,-0.2
Insecta,Diptera,Drosophilidae,Drosophila pallidipennis,male heterogametic,,,,330.9,325,11.8
Insecta,Diptera,Drosophilidae,Samoaia leonensis,male heterogametic,,,,261.8,260.4,2.8
Insecta,Diptera,Drosophilidae,Hirtodrosophila pictiventris,male heterogametic,,,,162.8,142.3,41
Insecta,Diptera,Drosophilidae,Drosophila busckii,Neo,,,,134.7,136.5,-3.6
Insecta,Diptera,Drosophilidae,Scaptodrosophila latifasciaeformis,NA,,,,201.7,201.8,-0.2
Insecta,Diptera,Drosophilidae,Drosophila affinis,male heterogametic,,,,208.1,184.8,46.6
Insecta,Diptera,Drosophilidae,Drosophila algonquin,male heterogametic,,,,205.2,194.2,22
Insecta,Diptera,Drosophilidae,Drosophila azteca,male heterogametic,,,,202.2,192.2,20
Insecta,Diptera,Drosophilidae,Drosophila tolteca,male heterogametic,,,,179,168.7,20.6
Insecta,Diptera,Drosophilidae,Drosophila narragansett,male heterogametic,,,,205.9,203.4,5
Insecta,Diptera,Drosophilidae,Drosophila miranda,Neo,,,,211.9,199.6,24.6
Insecta,Diptera,Drosophilidae,Drosophila persimilis,male heterogametic,,,,197.1,167.7,58.8
Insecta,Diptera,Drosophilidae,Drosophila pseudoobscura,Neo,,,,180.8,161.3,39
Insecta,Diptera,Drosophilidae,Drosophila ambigua,male heterogametic,,,,188.4,176.5,23.8
Insecta,Diptera,Drosophilidae,Drosophila bifasciata,male heterogametic,,,,210.6,196.2,28.8
Insecta,Diptera,Drosophilidae,Drosophila auraria,male heterogametic,,,,254.4,248.4,12
Insecta,Diptera,Drosophilidae,Drosophila quadraria,male heterogametic,,,,252.1,248.4,7.4
Insecta,Diptera,Drosophilidae,Drosophila triauraria,male heterogametic,,,,256.7,252.4,8.6
Insecta,Diptera,Drosophilidae,Drosophila biauraria,male heterogametic,,,,237.2,211.2,52
Insecta,Diptera,Drosophilidae,Drosophila lacteicornis,male heterogametic,,,,248.6,230.7,35.8
Insecta,Diptera,Drosophilidae,Drosophila rufa,male heterogametic,,,,256.8,246,21.6
Insecta,Diptera,Drosophilidae,Drosophila tani,NA,,,,211.5,200.8,21.4
Insecta,Diptera,Drosophilidae,Drosophila pectinifera,NA,,,,297.4,280.4,34
Insecta,Diptera,Drosophilidae,Drosophila baimaii,male heterogametic,,,,279.2,273.6,11.2
Insecta,Diptera,Drosophilidae,Drosophila birchii,male heterogametic,,,,191.2,190.4,1.6
Insecta,Diptera,Drosophilidae,Drosophila mayri,male heterogametic,,,,262.2,256.2,12
Insecta,Diptera,Drosophilidae,Drosophila barbarae,male heterogametic,,,,289.6,279.2,20.8
Insecta,Diptera,Drosophilidae,Drosophila bicornuta,male heterogametic,,,,245,226.6,36.8
Insecta,Diptera,Drosophilidae,Drosophila nikananu,male heterogametic,,,,219.7,220.6,-1.8
Insecta,Diptera,Drosophilidae,Drosophila diplacantha,NA,,,,273.2,270.4,5.6
Insecta,Diptera,Drosophilidae,Drosophila vulcana,male heterogametic,,,,226,221.1,9.8
Insecta,Diptera,Drosophilidae,Drosophila tsacasi,male heterogametic,,,,224.8,211.5,26.6
Insecta,Diptera,Drosophilidae,Drosophila seguyi,male heterogametic,,,,249.1,245.3,7.6
Insecta,Diptera,Drosophilidae,Drosophila greeni,male heterogametic,,,,244.1,236.7,14.8
Insecta,Diptera,Drosophilidae,Drosophila serrata,male heterogametic,,,,226.7,215.8,21.8
Insecta,Diptera,Drosophilidae,Drosophila bunnanda,NA,,,,238.3,232.5,11.6
Insecta,Diptera,Drosophilidae,Drosophila punjabiensis,male heterogametic,,,,200,194.9,10.2
Insecta,Diptera,Drosophilidae,Drosophila orosa,male heterogametic,,,,215.3,216.2,-1.8
Insecta,Diptera,Drosophilidae,Drosophila kikkawai,male heterogametic,25.4,25.19,-0.008302084,223,223.5,-1
Insecta,Diptera,Drosophilidae,Drosophila jambulina,male heterogametic,,,,219,210.4,17.2
Insecta,Diptera,Drosophilidae,Drosophila kanapiae,male heterogametic,,,,168.6,164.8,7.6
Insecta,Diptera,Drosophilidae,Drosophila ficusphila,male heterogametic,,,,201.8,192.8,18
Insecta,Diptera,Drosophilidae,Drosophila erecta,male heterogametic,21.03,31.78,0.412887171,184.2,184.8,-1.2
Insecta,Diptera,Drosophilidae,Drosophila orena,NA,,,,280.7,280.7,0
Insecta,Diptera,Drosophilidae,Drosophila santomea,NA,,,,181.9,178.3,7.2
Insecta,Diptera,Drosophilidae,Drosophila yakuba,male heterogametic,9.37,16.79,0.583270375,180.6,178.9,3.4
Insecta,Diptera,Drosophilidae,Drosophila teissieri,male heterogametic,,,,165,162.9,4.2
Insecta,Diptera,Drosophilidae,Drosophila mauritiana,male heterogametic,,,,164.9,162.6,4.6
Insecta,Diptera,Drosophilidae,Drosophila sechellia,male heterogametic,16.76,8.51,-0.677753152,208.3,190.9,34.8
Insecta,Diptera,Drosophilidae,Drosophila simulans,male heterogametic,37.44,28.79,-0.262711547,168.9,163.8,10.2
Insecta,Diptera,Drosophilidae,Drosophila melanogaster,male heterogametic,36.22,26.22,-0.323088974,174.5,172.1,4.8
Insecta,Diptera,Drosophilidae,Drosophila eugracilis,male heterogametic,,,,237.8,237.8,0
Insecta,Diptera,Drosophilidae,Drosophila paralutea,male heterogametic,,,,239.2,234.6,9.2
Insecta,Diptera,Drosophilidae,Drosophila prostipennis,male heterogametic,,,,245.5,239.8,11.4
Insecta,Diptera,Drosophilidae,Drosophila lutescens,male heterogametic,,,,229.6,231.9,-4.6
Insecta,Diptera,Drosophilidae,Drosophila takahashii,male heterogametic,,,,210.8,204,13.6
Insecta,Diptera,Drosophilidae,Drosophila pseudotakahashii,male heterogametic,,,,212.2,202.9,18.6
Insecta,Diptera,Drosophilidae,Drosophila mimetica,male heterogametic,,,,212.7,208.3,8.8
Insecta,Diptera,Drosophilidae,Drosophila suzukii,male heterogametic,,,,342.8,333.3,19
Insecta,Diptera,Drosophilidae,Drosophila lucipennis,male heterogametic,,,,274,274.1,-0.2
Insecta,Diptera,Drosophilidae,Drosophila elegans,male heterogametic,,,,218.5,217.9,1.2
Insecta,Diptera,Drosophilidae,Drosophila fuyamai,NA,,,,266.3,262.5,7.6
Insecta,Diptera,Drosophilidae,Drosophila malerkotliana,male heterogametic,,,,221.8,215.9,11.8
Insecta,Diptera,Drosophilidae,Drosophila bipectinata,male heterogametic,12.29,12.71,0.033603162,213,208.9,8.2
Insecta,Diptera,Drosophilidae,Drosophila pseudoananassae,male heterogametic,,,,223.6,215.5,16.2
Insecta,Diptera,Drosophilidae,Drosophila pseudoananassae nigrens,male heterogametic,,,,224,224,0
Insecta,Diptera,Drosophilidae,Drosophila parabipectinata,male heterogametic,,,,241,235.1,11.8
Insecta,Diptera,Drosophilidae,Drosophila phaeopleura,male heterogametic,,,,202.9,187.3,31.2
Insecta,Diptera,Drosophilidae,Drosophila atripex,male heterogametic,,,,198.2,194.8,6.8
Insecta,Diptera,Drosophilidae,Drosophila ananassae,male heterogametic,29.88,25.98,-0.139862349,205.1,198.6,13
Insecta,Diptera,Drosophilidae,Drosophila pallidosa,male heterogametic,,,,194.1,186.8,14.6
Insecta,Diptera,Drosophilidae,Drosophila ercepeae,male heterogametic,,,,224,221,6
Insecta,Diptera,Drosophilidae,Drosophila varians,male heterogametic,,,,166.7,156,21.4
Insecta,Diptera,Drosophilidae,Drosophila emarginata,male heterogametic,,,,218.4,211.7,13.4
Insecta,Diptera,Drosophilidae,Drosophila neocordata,male heterogametic,,,,219,219.8,-1.6
Insecta,Diptera,Drosophilidae,Drosophila paulistorum,male heterogametic,,,,244.7,250.1,-10.8
Insecta,Diptera,Drosophilidae,Drosophila equinoxialis,male heterogametic,,,,264.5,266.4,-3.8
Insecta,Diptera,Drosophilidae,Drosophila capricorni,male heterogametic,,,,211.8,205.4,12.8
Insecta,Diptera,Drosophilidae,Drosophila sucinea,male heterogametic,,,,215.1,211.3,7.6
Insecta,Diptera,Drosophilidae,Drosophila nebulosa,male heterogametic,,,,211.5,203.1,16.8
Insecta,Diptera,Drosophilidae,Hirtodrosophila duncani,NA,,,,251.6,244.3,14.6
Insecta,Diptera,Drosophilidae,Scaptodrosophila lebanonensis,Neo,,,,257.2,253.3,7.8
Insecta,Diptera,Drosophilidae,Scaptodrosophila pattersoni,NA,,,,251.9,256.9,-10
Insecta,Diptera,Drosophilidae,Scaptodrosophila stonei,NA,,,,206.8,208.3,-3
Insecta,Coleoptera,Anobiidae,Stegobium paniceum,male heterogametic,66,71.5,0.080042708,345,345,0
Insecta,Coleoptera,Carabidae,Cicindela repanda,male heterogametic,,,,738,746,-16
Insecta,Coleoptera,Cerambycidae,Mallodon dasystomus,male heterogametic,,,,1768,1747,42
Insecta,Coleoptera,Cleridae,Necrobia rufipes,male heterogametic,,,,1281,1244,74
Insecta,Coleoptera,Dermestidae,Trogoderma sp.,male heterogametic,,,,267,262,10
Insecta,Coleoptera,Dytiscidae,Hydaticus bimarginatus,male heterogametic,,,,958,943,30
Insecta,Coleoptera,Leiodidae,Ptomaphagus hirtus,male heterogametic,,,,811,794,34
Insecta,Coleoptera,Scarabaeidae,Strategus aloeus,male heterogametic,,,,723,709,28
Insecta,Diptera,Phoridae,Pseudacteon obtusus,male heterogametic,,,,613,622,-18
Insecta,Diptera,Phoridae,Pseudacteon tricuspis,male heterogametic,,,,738,746,-16
Insecta,Diptera,Tephritidae,Rhagoletis pomonella,male heterogametic,,,,932,967,-70
Insecta,Hemiptera,Cicadidae,Neocicada hieroglyphica,male heterogametic,,,,5726,5330,792
Insecta,Hemiptera,Cicadidae,Tibicen lyricen,male heterogametic,,,,7000,6695,610
Insecta,Hemiptera,Cicadidae,Tibicen resh,male heterogametic,,,,5748,5238,1020
Insecta,Hemiptera,Miridae,Pseudatomoscelis seriatus,male heterogametic,,,,594,561,66
Insecta,Lepidoptera,Arctiidae,Cisseps fulvicollis,female heterogametic,,,,447,441,12
Insecta,Lepidoptera,Lycaenidae,Jalmenus evagoras,female heterogametic,,,,228,226,4
Insecta,Lepidoptera,Nymphalidae,Hypolimnas bolina,female heterogametic,,,,434,436,-4
Insecta,Lepidoptera,Nymphalidae,Limenitis arthemis,female heterogametic,,,,388,361,54
Insecta,Lepidoptera,Prodoxidae,Tegeticula yuccasella,female heterogametic,,,,380,393,-26
Insecta,Lepidoptera,Prodoxidae,Tegeticula corruptrix,female heterogametic,,,,351,361,-20
Insecta,Lepidoptera,Saturniidae,Actias luna,female heterogametic,,,,546,538,16
Insecta,Lepidoptera,Saturniidae,Antheraea polyphemus,female heterogametic,,,,525,530,-10
Insecta,Mecoptera,Panorpidae,Panorpa nuptialis,,,,,2134,1889,490
Insecta,Orthoptera,Acrididae,Campylacantha olivacea,Neo,,,,6825,6016,1618
Insecta,Orthoptera,Acrididae,Melanoplus differentialis,Neo,,,,7096,6639,914
Insecta,Orthoptera,Tettigoniidae,Conocephalus sp.,Neo,,,,2962,2592,740
Insecta,Orthoptera,Tettigoniidae,Neoconocephalus triops,Neo,,,,7752,7125,1254
Insecta,Siphonaptera,Pulicidae,Ctenocephalides felis,,,,,465,439,52
Aves,Charadriiformes,Recurvirostridae,Recurvirostra avosetta,female heterogametic,,,,,1550,
Aves,Piciformes,Megalaimidae,Megalaima oorti,female heterogametic,,,,1589,,
Aves,Passeriformes,Calyptomenidae,Calyptomena viridis,female heterogametic,,,,1281,,
Aves,Otidiformes,Otididae,Ardeoris kori,female heterogametic,,,,1311,1467,-312.96
Aves,Columbiformes,Columbidae,Trugon terrestris,female heterogametic,,,,1643,1697,-107.58
Aves,Columbiformes,Columbidae,Caloenas nicobarica,female heterogametic,,,,1491,1521,-58.68
Aves,Gruiformes,Rallidae,Rallus phillippensis,female heterogametic,,,,1535,1560,-48.9
Aves,Ciconiiformes,Ciconiidae,Leptoptilos crumeniferus,female heterogametic,,,,1535,1496,78.24
Aves,Ciconiiformes,Ciconiidae,Ciconia stormi,female heterogametic,,,,1599,1677,-156.48
Aves,,,Meleagris gallopavo,female heterogametic,,,,1267,1281,-29.34
